Title,Product #,Released,Lowest,Average,Highest,URL,category
Barbie as Dorothy in The Wizard of Oz,12701,1995,17,7.0,66,https://www.barbiedb.com/wp-content/uploads/2021/07/12701-1995-barbie-as-dorothy-in-the-wizard-of-oz.jpg,movie_show_chars
Spanish Barbie,24670,1999,8,19.0,40,https://www.barbiedb.com/wp-content/uploads/2021/07/24670-1999-spanish-barbie.jpg,nationalities
Student Teacher Barbie,R4471,2009,29,19.0,101,https://www.barbiedb.com/wp-content/uploads/2020/05/student-teacher-barbie.jpg,careers
Hollywood Cast Party Barbie,50825,2001,12,19.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/hollywood-cast-party-barbie.jpg,special_occasion
Barbie Paris Pretty Fashions Pretty City Looks,1909,1988,11,19.0,151,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-paris-pretty-fashions-pretty-city-looks-698x1024.jpg,city_girl
"I Love Lucy, The Christmas Show",K4558,2006,28,19.0,85,https://www.barbiedb.com/wp-content/uploads/2022/03/k4558-2006-i-love-lucy-the-christmas-show-631x1024.jpg,holiday
Timeless Silhouette 2000,29050,2000,2,16.0,101,https://www.barbiedb.com/wp-content/uploads/2021/06/timeless-silhouette-2000-963x1024.jpg,limited_edition
Water Rhapsody,19847,1998,13,16.0,55,https://www.barbiedb.com/wp-content/uploads/2021/06/water-rhapsody-853x1024.jpg,collector_edition
Ring in the New Year Barbie,52742,2001,1,16.0,181,https://www.barbiedb.com/wp-content/uploads/2020/05/ring-in-the-new-year-barbie.jpg,holiday
Haunted Beauty Zombie Bride Barbie Doll,CHX12,2015,100,16.0,801,https://www.barbiedb.com/wp-content/uploads/2020/05/haunted-beauty-zombie-bride-barbie-doll.jpg,special_occasion
Bob Mackie Empress Bride Barbie,4247,1992,132,16.0,500,https://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-empress-bride-barbie.jpg,Bob Mackie
2020 Holiday Barbie,GHT54,2020,2,26.0,62,https://www.barbiedb.com/wp-content/uploads/2021/08/ght54-2020-holiday-789x1024.jpg,holiday
Teacher Barbie,13914,1995,9,26.0,77,https://www.barbiedb.com/wp-content/uploads/2021/07/13914-1995-teacher-barbie-1024x1024.jpg,careers
Princess Barbie,23474,1999,2,26.0,28,https://www.barbiedb.com/wp-content/uploads/2021/07/23474-1999-princess-barbie-485x1024.jpg,movie_show_chars
Barbie Collector The Hunger Games: Mockingjay Part 2 Katniss,CJF33,2015,19,26.0,71,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-collector-the-hunger-games-mockingjay-part-2-katniss.jpg,movie_show_chars
Barbie 2015 Holiday Doll,CHR76,2015,9,26.0,76,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2015-holiday-doll.jpg,holiday
Sweet Treats Barbie,20780,1998,7,18.0,38,https://www.barbiedb.com/wp-content/uploads/2021/07/20780-1998-sweet-treats-barbie-652x1024.jpg,
Enchanted Evening Barbie,14992,1995,4,18.0,60,https://www.barbiedb.com/wp-content/uploads/2021/05/enchanted-evening-barbie-blond-503x1024.jpg,special_occasion
Happy Birthday,1922,1983,11,18.0,80,https://www.barbiedb.com/wp-content/uploads/2020/05/1922-happy-birthday-714x1024.jpg,holiday
Faberge Imperial Elegance Barbie,19816,1997,174,18.0,520,https://www.barbiedb.com/wp-content/uploads/2020/05/faberge-imperial-elegance-barbie.jpg,fashion_beauty
Elizabeth Taylor in Father of the Bride,26836,2000,32,18.0,200,https://www.barbiedb.com/wp-content/uploads/2020/05/elizabeth-taylor-in-father-of-the-bride.jpg,famous
Avon Mrs. P.F.E. Albee,17690,1997,2,14.0,75,https://www.barbiedb.com/wp-content/uploads/2020/05/avon-mrs-p-f-e-albee.jpg,
Party Dress Barbie Doll,W3425,2012,100,14.0,400,https://www.barbiedb.com/wp-content/uploads/2020/05/party-dress-barbie-doll.jpg,special_occasion
Parisienne Pretty Barbie,N6594,2009,90,14.0,731,https://www.barbiedb.com/wp-content/uploads/2020/05/parisienne-pretty-barbie.jpg,city_girl
