Title,Product #,Released,Lowest,Average,Highest,URL,category
Barbie In The 12 Dancing Princesses Princess Isla Princess Hadley,J8889,2006,28,123.0,101,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-in-the-12-dancing-princesses-princess-isla-princess-hadley-j8889.jpg,movie_show_chars
Barbie Halloween Glow AA,55197,2002,14,27.0,58,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-halloween-glow-aa.jpg,holiday
My Scene Goes Hollywood Barbie Doll,G6129,2005,15,27.0,100,https://www.barbiedb.com/wp-content/uploads/2020/05/my-scene-goes-hollywood-barbie-doll.jpg,
Dahlia Barbie,J4255,2006,675,27.0,2423,https://www.barbiedb.com/wp-content/uploads/2020/05/dahlia-barbie.jpg,
Barbie- Hair-Tastic Doll Luxurious Pink Hair Super-Glitter  Assortment Pack,V9516,2011,17,27.0,45,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-hair-tastic-doll-luxurious-pink-hair-super-glitter-assortment-pack.jpg,fashion_beauty
Barbie Fun Fixin Picnic Set,67686,1997,29,27.0,75,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fun-fixin-picnic-set.jpg,sets
"Happy Birthday, Gorgeous Barbie",N2440,2008,41,65.0,120,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-birthday-gorgeous-barbie.jpg,holiday
Barbie Loves Paul Frank Ken,W9580,2011,32,65.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-loves-paul-frank-ken.jpg,ken
Diamond Dazzle,G4605,2004,9,65.0,25,https://www.barbiedb.com/wp-content/uploads/2021/12/G4605-2004-diamond-dazzle-564x1024.jpg,
Barbie Entrepreneur Doll (Hispanic),CCJ45,2014,12,65.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-entrepreneur-doll-hispanic-446x1024.jpg,careers
Barbie Style Nikki Doll,CFM55,2014,20,65.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-style-nikki-doll.jpg,fashion_beauty
Stunning in the Spotlight Barbie,N6603,2009,100,615.0,812,https://www.barbiedb.com/wp-content/uploads/2020/05/stunning-in-the-spotlight-barbie.jpg,
Totally Spring Primavera Barbie,C4480,2004,1,615.0,16,https://www.barbiedb.com/wp-content/uploads/2021/07/c4480-2004-totally-spring-primavera-barbie-393x1024.jpg,
Venetian Opulence,24501,2000,64,615.0,140,https://www.barbiedb.com/wp-content/uploads/2021/06/24501-venetian-opulence-817x1024.jpg,
Princess Barbie,23476,1999,2,615.0,22,https://www.barbiedb.com/wp-content/uploads/2021/07/23476-1999-princess-468x1024.jpg,movie_show_chars
Princess Barbie,1039,1979,229,615.0,270,https://www.barbiedb.com/wp-content/uploads/2022/03/1039-1979-princess-barbie-440x1024.jpg,movie_show_chars
Barbie Holiday Sparkle! Doll (AA),CLW90,2015,1,7.0,25,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-holiday-sparkle-doll-aa.jpg,holiday
Evening Gown Barbie,W3426,2012,99,7.0,350,https://www.barbiedb.com/wp-content/uploads/2020/05/evening-gown-barbie.jpg,special_occasion
SuperStar Ken,2211,1977,65,7.0,208,https://www.barbiedb.com/wp-content/uploads/2020/05/superstar-ken.jpg,ken
Mint Memories Barbie,20983,1999,112,7.0,230,https://www.barbiedb.com/wp-content/uploads/2020/05/mint-memories-barbie.jpg,
Miss Pearl Barbie,K8695,2007,15,7.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/miss-pearl-barbie-k8695.jpg,birth_stone
Canada Barbie,X8422,2013,20,43.0,57,http://www.barbiedb.com/wp-content/uploads/2020/05/canada-barbie.jpg,nationalities
Barbie Dream Kitchen,9119,1984,100,43.0,300,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-dream-kitchen.jpg,furniture
Barbie Renaissance Doll (TRU),V8755,2011,114,43.0,175,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-renaissance-doll-tru.jpg,special_occasion
Barbie Baby-Sits,7882,1976,15,43.0,40,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-baby-sits.jpg,
Barbie Romantic Princess Parlor,67350,1998,17,43.0,100,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-romantic-princess-parlor.jpg,movie_show_chars
Barbie Look No. 001 — Collection Red,V0337,2010,15,35.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-look-no-001-collection-red-718x1024.jpg,
Barbie Generation Girl My Room Blaine,50160,2000,29,35.0,65,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-generation-girl-my-room-blaine.jpg,
Ken Adventure Route 66,56185,2002,8,35.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/ken-adventure-route-66.jpg,ken
Barbie Chelsea Holiday Snowman Doll,CMM27,2015,7,35.0,15,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-chelsea-holiday-snowman-doll.jpg,holiday
Barbie Fashionista Nikki Doll,BGY20,2013,12,35.0,18,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionista-nikki-doll-bgy20.jpg,fashion_beauty
Barbie K*B Toys Toy Store Playset,67793,1998,35,98.0,225,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-kb-toys-toy-store-playset.jpg,sets
Barbie as Swan Ballerina from Swan Lake,53867,2002,10,98.0,46,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-swan-ballerina-from-swan-lake.jpg,special_occasion
In The Swim Barbie and Ken Gift Set,T7659,2011,275,98.0,351,https://www.barbiedb.com/wp-content/uploads/2020/05/in-the-swim-barbie-and-ken-gift-set.jpg,sets
Barbie Strollin’ Pups Playset,T7197,2010,19,98.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-strollin-pups-playset.jpg,sets
Barbie Cool Times Snack Time Playset,7356,1989,39,98.0,280,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-cool-times-snack-time-playset.jpg,sets
Cali Girl So Excellent Earrings Barbie Doll,B5766,2004,17,48.0,130,https://www.barbiedb.com/wp-content/uploads/2020/05/cali-girl-so-excellent-earrings-barbie-doll.jpg,california_girl
Barbie Fashionistas Swappin Styles Cutie Doll,V4381,2011,12,48.0,36,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-swappin-styles-cutie-doll.jpg,fashion_beauty
The Orchid,50319,2001,24,48.0,33,https://www.barbiedb.com/wp-content/uploads/2021/07/50319-2001-the-orchid.jpg,collector_edition
Disco Ken AKA Golden Nights Ken,3208,1980,75,48.0,95,https://www.barbiedb.com/wp-content/uploads/2020/05/disco-ken-aka-golden-nights-ken-314x1024.jpg,ken
Lone Star Great Barbie,G8052,2005,40,48.0,96,https://www.barbiedb.com/wp-content/uploads/2020/05/lone-star-great-barbie.jpg,
Barbie Ski Fun Fashions,7591,1991,24,323.0,46,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-ski-fun-fashions-7591.jpg,fashion_beauty
Principessa Barbie Doll,BCP83,2014,89,323.0,360,https://www.barbiedb.com/wp-content/uploads/2020/05/principessa-barbie-doll.jpg,
Camping Family Ken,P6714,2008,28,323.0,60,https://www.barbiedb.com/wp-content/uploads/2020/05/camping-family-ken.jpg,hobby_activity
Mermaid Gown Barbie Doll,X8254,2013,125,323.0,690,https://www.barbiedb.com/wp-content/uploads/2020/05/mermaid-gown-barbie-doll.jpg,movie_show_chars
Model No. 08 Collection Red Target Barbie,V0336,2010,45,323.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/model-no-08-collection-red-target-barbie.jpg,careers
Barbie Busy Francie (German Issue),3313,1972,250,650.0,700,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-busy-francie-german-issue.jpg,nationalities
Barbie Te Parle,12372,1994,100,650.0,180,https://www.barbiedb.com/wp-content/uploads/2020/05/12372-1994-barbie-te-parle.jpg,
"Barbie Fashionistas Ken Doll, Floral Tee",DGY68,2015,12,650.0,25,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-ken-doll-floral-tee.jpg,fashion_beauty
Barbie Classic Black Dress Silkstone,DKN07,2016,44,650.0,195,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-classic-black-dress-silkstone.jpg,fashion_beauty
"Belle, from Disney’s Beauty and the Beast: The Enchanted Christmas",19701,1998,10,650.0,41,https://www.barbiedb.com/wp-content/uploads/2021/11/19701-1998-belle-from-disneys-beauty-and-the-beast-the-enchanted-christmas-508x1024.jpg,movie_show_chars
Barbie The Princess and the Popstar Tori Fashion Doll and Guitar,X5127,2011,16,90.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-the-princess-and-the-popstar-tori-fashion-doll-and-guitar.jpg,show_time
Angelica Barbie Doll,T7655,2011,45,90.0,116,https://www.barbiedb.com/wp-content/uploads/2020/05/angelica-barbie-doll.jpg,
Barbie Baby-Sits Outfit,953,1963,250,90.0,1036,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-baby-sits-outfit.jpg,fashion_beauty
Barbie Doll and Fashion Assortment,N8820,2009,20,90.0,30,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-doll-and-fashion-assortment.jpg,fashion_beauty
Motorcycle Ken,12126,1994,140,90.0,210,https://www.barbiedb.com/wp-content/uploads/2020/05/12176-1994-motorcycle-ken.jpg,ken
Barbie Fashionistas Cutie Doll,T7411,2010,20,47.0,60,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-cutie-doll.jpg,fashion_beauty
Barbie Vanity and Bench,B3436,2004,131,47.0,804,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-vanity-and-bench.jpg,furniture
The Mermaid,W3427,2012,150,47.0,700,https://www.barbiedb.com/wp-content/uploads/2020/05/w3427-2012-the-mermaid-687x1024.jpg,movie_show_chars
Fashion Fever Modern Trends Collection Kurt,J1331,2005,19,47.0,60,https://www.barbiedb.com/wp-content/uploads/2020/05/fashion-fever-modern-trends-collection-kurt.jpg,fashion_beauty
Barbie Go In Style Fashion Pack Khaki Leopard Spot Shorts,68014,1999,6,47.0,25,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-go-in-style-fashion-pack-khaki-leopard-spot-shorts-349x1024.jpg,horoscopes
Noir et Blanc Barbie (AA),B1993,2003,139,60.0,270,https://www.barbiedb.com/wp-content/uploads/2020/05/noir-et-blanc-barbie-aa.jpg,
Barbie Rapunzel’s Wedding Doll,J1014,2005,30,60.0,121,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-rapunzels-wedding-doll.jpg,special_occasion
40 Jahre “Das Spielzeug” G. Pallendorf 1957-1997 Fashion Dreams Teresa,?,1998,135,60.0,180,https://www.barbiedb.com/wp-content/uploads/2020/05/1998-40-jahre-das-spielzeug-g-pallendorf-1957-1997-fashion-dreams-barbie.jpg,fashion_beauty
Benefit Performance Barbie,5475,1988,36,60.0,500,https://www.barbiedb.com/wp-content/uploads/2020/05/benefit-performance-barbie.jpg,limited_edition
Barbie Pinkaccino Shopping,N5712,2008,7,60.0,60,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-pinkaccino-shopping.jpg,
Timeless Silhouette Barbie,29051,2000,4,23.0,40,https://www.barbiedb.com/wp-content/uploads/2021/12/29051-2000-timeless-silhouette-barbie-1024x1020.jpg,limited_edition
Barbie Fashionistas Swappin Styles Artsy,T7410,2010,22,23.0,46,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-swappin-styles-artsy.jpg,fashion_beauty
Winter Dreams Belle from Disney’s Beauty and the Beast,19845,1998,19,23.0,20,https://www.barbiedb.com/wp-content/uploads/2022/03/19845-1998-winter-dreams-belle-from-disneys-beauty-and-the-beast.jpg,movie_show_chars
Barbie Basics Doll Assortment,R9912,2010,24,23.0,111,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-basics-doll-assortment.jpg,
Barbie Roller Blade Fashions,4852,1991,14,23.0,30,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-roller-blade-fashions-766x1024.jpg,fashion_beauty
Model No. 14 Collection 002.5 Barbie,T7916,2011,90,147.0,153,https://www.barbiedb.com/wp-content/uploads/2020/05/model-no-14-collection-002-5-barbie.jpg,careers
Lisette Barbie,29650,2001,115,147.0,201,https://www.barbiedb.com/wp-content/uploads/2020/05/lisette-barbie.jpg,sets
Kid Picks Ken Gift Set,V2216,2010,24,147.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/kid-picks-ken-gift-set.jpg,sets
Black Enchantment Fashion,55500,2002,45,147.0,91,https://www.barbiedb.com/wp-content/uploads/2020/05/black-enchantment-fashion.jpg,fashion_beauty
Hello Barbie Doll Blonde,DKF74,2015,27,147.0,80,https://www.barbiedb.com/wp-content/uploads/2020/05/hello-barbie-doll-blonde.jpg,
Barbie So Much To Do Pretty Pet Parlor,67154,1995,29,35.0,140,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-so-much-to-do-pretty-pet-parlor.jpg,pets
Barbie Kelly Lots Of Secrets Playhouse,88923,2002,99,35.0,230,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-kelly-lots-of-secrets-playhouse.jpg,houses
Barbie I Can Be… Pet Vet Doll,W3740,2012,18,35.0,42,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-pet-vet-doll-2.jpg,pets
Cali Girl California Girl So Excellent Earrings Summer Doll,C6789,2004,9,35.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/cali-girl-california-girl-so-excellent-earrings-summer-doll.jpg,california_girl
Rhapsody in New York Barbie,J0984,2006,160,35.0,220,https://www.barbiedb.com/wp-content/uploads/2020/05/rhapsody-in-new-york-barbie.jpg,city_girl
Fashion Fever Kayla Doll,G9009,2004,50,92.0,100,https://www.barbiedb.com/wp-content/uploads/2020/05/fashion-fever-kayla-doll-g9009.jpg,fashion_beauty
Canadian Barbie,4928,1988,7,92.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/canadian-barbie.jpg,nationalities
Spring Break 1961 Barbie and Ken Giftset,T7945,2011,328,92.0,700,https://www.barbiedb.com/wp-content/uploads/2020/05/spring-break-1961-barbie-and-ken-giftset.jpg,sets
Gallery Scene Barbie Fashion,53871,2002,70,92.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/gallery-scene-barbie-fashion.jpg,fashion_beauty
Model No. 01 Collection 001.5 Barbie,T2162,2010,50,92.0,75,https://www.barbiedb.com/wp-content/uploads/2020/05/model-no-01-collection-001-5-barbie.jpg,careers
Barbie Step ‘n Style Boutique,2769,1988,82,46.0,250,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-step-n-style-boutique.jpg,fashion_beauty
"Barbie – Stardoll, Doll Space, Style 1 – Includes 50 Stardollars",W2205,2011,16,46.0,56,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-stardoll-doll-space-style-1-includes-50-stardollars.jpg,show_time
Cancer Barbie,C6243,2005,24,46.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/cancer-barbie.jpg,horoscopes
Millennium Bride Barbie,24505,1999,54,46.0,500,https://www.barbiedb.com/wp-content/uploads/2020/05/millennium-bride-barbie.jpg,special_occasion
Barbie Fashion Mix ‘N Match Doll Brunette,DJW59,2015,18,46.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashion-mix-n-match-doll-brunette.jpg,fashion_beauty
Barbie Cali Girl Teresa Doll,C6463,2004,22,20.0,43,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-cali-girl-teresa-doll.jpg,california_girl
Barbie #1,1,1959,450,20.0,27450,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1-524x1024.jpg,
Disney’s Pocahontas,24932,1999,19,20.0,35,https://www.barbiedb.com/wp-content/uploads/2021/07/24932-1999-disneys-pocahontas-462x1024.jpg,movie_show_chars
Luncheon Ensemble Barbie Doll,X8252,2013,50,20.0,276,https://www.barbiedb.com/wp-content/uploads/2020/05/luncheon-ensemble-barbie-doll.jpg,
Barbie Dinner Date Night Dining Room Set and Doll,X4933,2012,15,20.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-dinner-date-night-dining-room-set-and-doll.jpg,sets
Barbie Sisters Barbie and Skipper Doll 2-Pack,DGX42,2015,17,24.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-sisters-barbie-and-skipper-doll-2-pack-dgx42.jpg,family_friends
Tout De Suite,L9596,2006,177,24.0,210,https://www.barbiedb.com/wp-content/uploads/2021/06/l9596-tout-de-suite-394x1024.jpg,collector_edition
Chromatic Couture,GHT71,2020,247,24.0,248,https://www.barbiedb.com/wp-content/uploads/2021/08/ght71-chromatic-couture-475x1024.jpg,fashion_beauty
Barbie Fashionista Doll (Blonde/Gold),Y7488,2013,11,24.0,48,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionista-doll-blonde-gold.jpg,fashion_beauty
Barbie 2000 Hallmark Keepsake Ornament,QXC4531,2000,6,24.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2000-hallmark-keepsake-ornament.jpg,holiday
Barbie Light Up Family Room Playset,67553,1999,57,72.0,125,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-light-up-family-room-playset.jpg,sets
Barbie Designer Collection Horse Back Riding,7085,1983,21,72.0,170,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-designer-collection-horse-back-riding-717x1024.jpg,pets
Barbie My Scene Goes Hollywood Madison,G6130,2005,44,72.0,117,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-my-scene-goes-hollywood-madison.jpg,
Barbie Fashionistas Barbie Doll – Pink Dress,X2272,2012,15,72.0,41,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-barbie-doll-pink-dress.jpg,fashion_beauty
2013 Barbie Holiday Doll with Ornament (Walmart),X9195,2013,15,72.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/2013-barbie-holiday-doll-with-ornament-walmart.jpg,holiday
Gala Gown Barbie,W3496,2012,109,503.0,551,https://www.barbiedb.com/wp-content/uploads/2020/05/gala-gown-barbie.jpg,special_occasion
Barbie Rapunzel’s Wedding Prince Stefan Doll,J1016,2005,35,503.0,121,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-rapunzels-wedding-prince-stefan-doll.jpg,special_occasion
Shave N Style Ken,23788,1999,23,503.0,46,https://www.barbiedb.com/wp-content/uploads/2020/05/shave-n-style-ken.jpg,fashion_beauty
Barbie Loves Glitter Nails 2 Pack Assortment,V3396,2010,9,503.0,25,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-loves-glitter-nails-2-pack-assortment.jpg,
Special Edition Millennium Princess Barbie,25154,2000,24,503.0,26,https://www.barbiedb.com/wp-content/uploads/2021/08/25154-2000-special-edition-millennium-princess-barbie-796x1024.jpg,movie_show_chars
Barbie Holiday Doll,CCP45,2014,9,19.0,30,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-holiday-doll.jpg,holiday
Barbie Jeans Fashions For Ken,1690,1988,14,19.0,188,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-jeans-fashions-for-ken-738x1024.jpg,fashion_beauty
Barbie 2014 Holiday Doll with Ornament (AA),CDB52,2014,18,19.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2014-holiday-doll-with-ornament-aa.jpg,holiday
"Barbie, Ken and Midge On Parade Gift set",1014,1964,400,19.0,550,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-ken-and-midge-on-parade-gift-set-1014.jpg,sets
Barbie I Can Be  Flight Attendant Walmart,Y1132,2012,12,19.0,71,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-flight-attendant-walmart.jpg,careers
Harvey Nichols Special Edition Barbie,175,1995,1,,900,https://www.barbiedb.com/wp-content/uploads/2020/05/harvey-nichols-special-edition-barbie.jpg,limited_edition
Barbie I Can Be… President B Party Doll,X2932,2012,20,,100,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-president-b-party-doll-x2932.jpg,special_occasion
Barbie Picnic Pretty Fashions and Accessories,12594,1994,18,,32,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-picnic-pretty-fashions-and-accessories-597x1024.jpg,dining
Pepper Barbie Doll,L9601,2008,80,,171,https://www.barbiedb.com/wp-content/uploads/2020/05/pepper-barbie-doll.jpg,
Barbie Beauty Salon Set,4839,1983,100,,180,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-beauty-salon-set.jpg,sets
Barbie Sisters Twins Max and Marie,Y7558,2013,35,39.0,102,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-sisters-twins-max-and-marie.jpg,family_friends
Fairy of the Forest,25639,2000,37,39.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/fairy-of-the-forest-barbie.jpg,movie_show_chars
Golden Gala Barbie,P6755,2009,425,39.0,450,https://www.barbiedb.com/wp-content/uploads/2020/05/golden-gala-barbie-p6755.jpg,special_occasion
Barbie 1997 Victorian Elegance Hallmark Keepsake Ornament,QHB6004,1997,6,39.0,9,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1997-victorian-elegance-hallmark-keepsake-ornament.jpg,victorian
Barbie Sisters Safari Skipper Doll,BDG29,2013,24,39.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-sisters-safari-skipper-doll.jpg,family_friends
Fashion Designer Barbie,53864,2002,140,215.0,221,https://www.barbiedb.com/wp-content/uploads/2020/05/fashion-designer-barbie.jpg,fashion_beauty
Wedding Party Gift Set,1017,1964,700,215.0,700,https://www.barbiedb.com/wp-content/uploads/2020/05/1017-wedding-party-gift-set-1024x657.jpg,sets
Barbie I Can Be… Mars Explorer Doll,X9073,2013,14,215.0,65,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-mars-explorer-doll.jpg,careers
Barbie Check Up Dress ‘N Play Ocean Friends Fashion Set,67508,1996,10,215.0,65,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-check-up-dress-n-play-ocean-friends-fashion-set.jpg,sets
Native American Barbie,11609,1994,7,215.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/native-american-barbie-11609.jpg,nationalities
Captain Jack Sparrow Ken Doll,T7654,2011,55,1150.0,201,https://www.barbiedb.com/wp-content/uploads/2020/05/captain-jack-sparrow-ken-doll.jpg,ken
Barbie Glitz and Glamour Horse,K8595,2006,50,1150.0,65,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-glitz-and-glamour-horse.jpg,glamorous
Barbie Fashionistas Swappin Heads Sporty Doll,T7412,2010,18,1150.0,76,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-swappin-heads-sporty-doll.jpg,fashion_beauty
City Smart Barbie,B8687,2003,650,1150.0,1151,https://www.barbiedb.com/wp-content/uploads/2020/05/city-smart-barbie.jpg,city_girl
Barbie My Scene So Chic Salon,C2234,2003,65,1150.0,120,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-my-scene-so-chic-salon.jpg,fashion_beauty
Barbie Rapunzel’s Wedding Doll (AA),J1015,2005,24,25.0,220,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-rapunzels-wedding-doll-aa.jpg,special_occasion
Barbie So In Style Rocawear Grace,W3184,2012,21,25.0,45,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-so-in-style-rocawear-grace.jpg,fashion_beauty
Fashionably Floral Barbie Doll,CGK91,2015,50,25.0,207,https://www.barbiedb.com/wp-content/uploads/2020/05/fashionably-floral-barbie-doll.jpg,fashion_beauty
Barbie Krissy Nap ‘n Play Nursery Playset,88814,2001,57,25.0,200,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-krissy-nap-n-play-nursery-playset.jpg,sets
Barbie Gold ‘N Glamour Outfit,1647,1965,78,25.0,550,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-gold-n-glamour-outfit.jpg,glamorous
Bride (Teresa),X1171,2012,17,24.0,29,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-teresa-bride-doll-2.jpg,special_occasion
Barbie Fashionistas Barbie Doll – Pink and Silver Dress,Y7487,2013,14,24.0,25,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-barbie-doll-pink-and-silver-dress.jpg,special_occasion
Barbie Glam Luxe Teresa,BLR57,2013,20,24.0,107,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-glam-luxe-teresa.jpg,glamorous
Barbie I Can Be Sports Fashion,V3112,2011,10,24.0,30,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-sports-fashion.jpg,fashion_beauty
Barbie A Fairy Secret Barbie Doll (2 in 1 Dress/Wings),T7349,2011,15,24.0,33,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-a-fairy-secret-barbie-doll-2-in-1-dress-wings.jpg,movie_show_chars
Barbie New ‘N Groove Talking PJ,1113,1969,175,,201,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-new-n-groove-talking-pj.jpg,
Barbie & The Diamond Castle Glimmer Horse,N0584,2008,55,,101,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-the-diamond-castle-glimmer-horse.jpg,pets
Barbie I Can Be…Bride,T3841,2009,23,,225,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-bride.jpg,special_occasion
Barbie Fashionistas Raquelle Doll,X2277,2012,30,,110,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-raquelle-doll.jpg,fashion_beauty
Bumblebee Gala Barbie,23041,1999,42,,100,https://www.barbiedb.com/wp-content/uploads/2020/05/bumblebee-gala-barbie.jpg,special_occasion
Barbie Pearl Princess Mermaid Co-Star Doll,BGV22,2014,13,,41,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-pearl-princess-mermaid-co-star-doll-bgv22.jpg,birth_stone
Soda Shop Barbie Doll,DGX89,2016,75,,250,https://www.barbiedb.com/wp-content/uploads/2020/05/soda-shop-barbie-doll.jpg,
Ice Cream Shoppe (Sorveteria),3653,1989,149,,350,https://www.barbiedb.com/wp-content/uploads/2020/05/ice-cream-shoppe-sorveteria.jpg,dining
Aloha Cali Girl Christie Doll,G8678,2005,75,,145,https://www.barbiedb.com/wp-content/uploads/2020/05/aloha-cali-girl-christie-doll.jpg,california_girl
Model No. 17 Collection 002 Barbie,T7751,2011,70,,180,https://www.barbiedb.com/wp-content/uploads/2020/05/model-no-17-collection-002-barbie.jpg,careers
Free Moving Ken,7280,1974,59,,175,https://www.barbiedb.com/wp-content/uploads/2020/05/free-moving-ken.jpg,ken
Barbie Sisters Safari Barbie Doll,BDG28,2013,16,,25,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-sisters-safari-barbie-doll.jpg,family_friends
Bedtime Baby Barbie Doll And Krissy Doll,56616,2002,41,,70,https://www.barbiedb.com/wp-content/uploads/2020/05/bedtime-baby-barbie-doll-and-krissy-doll-654x1024.jpg,
Barbie Cali Girl Lea Doll,C6465,2004,14,,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-cali-girl-lea-doll-c6465.jpg,california_girl
Inuit Legend Barbie,G8892,2005,150,,500,https://www.barbiedb.com/wp-content/uploads/2020/05/inuit-legend-barbie.jpg,limited_edition
Peruvian Barbie,2995,1986,40,,55,https://www.barbiedb.com/wp-content/uploads/2020/05/peruvian-barbie-2995.jpg,nationalities
Ken Cool Times Fashion Skates,10743,1993,55,,70,https://www.barbiedb.com/wp-content/uploads/2020/05/ken-cool-times-fashion-skates.jpg,fashion_beauty
Bath Magic Barbie AA,7951,1991,15,,30,https://www.barbiedb.com/wp-content/uploads/2020/05/bath-magic-barbie-aa.jpg,furniture
