,Title,Product #,Released,Lowest,Average,Highest,URL
102,Shanghai Barbie Doll,N0769,2008,80,54,182,https://www.barbiedb.com/wp-content/uploads/2020/05/shanghai-barbie-doll.jpg
103,Roller Skating Ken,1881,1980,20,54,300,https://www.barbiedb.com/wp-content/uploads/2020/05/roller-skating-ken.jpg
104,Hills Sea Pearl Mermaid Barbie,13940,1995,21,54,205,https://www.barbiedb.com/wp-content/uploads/2020/05/hills-sea-pearl-mermaid-barbie-602x1024.jpg
105,Happy Holidays Barbie 1993,10824,1993,1,25,301,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-1993.jpg
106,Galadriel in The Lord of the Rings: The Fellowship of the Ring,H1179,2004,35,25,135,https://www.barbiedb.com/wp-content/uploads/2020/05/galadriel-in-the-lord-of-the-rings-the-fellowship-of-the-ring.jpg
107,Empress Sissy Barbie,15846,1996,9,25,66,https://www.barbiedb.com/wp-content/uploads/2020/05/empress-sissy-barbie.jpg
108,Barbie President 2000,26288,2000,1,25,36,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-president-2000-2.jpg
109,Barbie Paris Pretty Fashions,6558,1989,24,25,223,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-paris-pretty-fashions-739x1024.jpg
110,Barbie Fashion Avenue Lifestyles In-Line Skater Outfit,23022,1999,9,22,50,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashion-avenue-lifestyles-in-line-skater-outfit.jpg
111,Barbie 2014 Holiday Doll with Ornament,BDH21,2014,6,22,50,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2014-holiday-doll-with-ornament.jpg
112,Winter Fantasy Barbie,15334,1995,1,22,36,https://www.barbiedb.com/wp-content/uploads/2022/04/15334-1995-winter-fantasy-barbie.jpg
113,Shopping Chic Barbie – Spiegel,15801,1995,14,22,71,https://www.barbiedb.com/wp-content/uploads/2022/03/15801-1995-shopping-chic-barbie-spiegel-1024x856.jpg
114,Walt Disney World Barbie,16525,1996,3,22,53,https://www.barbiedb.com/wp-content/uploads/2021/07/16525-1996-walt-disney-world-barbie-458x1024.jpg
115,Midnight Princess Barbie,17780,1997,6,19,65,https://www.barbiedb.com/wp-content/uploads/2020/05/midnight-princess-barbie.jpg
116,Czechoslovakian Barbie,7330,1991,5,19,75,https://www.barbiedb.com/wp-content/uploads/2020/05/czechoslovakian-barbie.jpg
117,Barbie Krissy Swing ‘n Play with AA Baby Krissy Doll,54218,2001,99,19,125,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-krissy-swing-n-play-with-aa-baby-krissy-doll.jpg
118,Barbie is Eternal Barbie,W3497,2012,190,19,320,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-is-eternal-barbie-w3497.jpg
119,Barbie China,W3323,2011,18,19,56,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-china-572x1024.jpg
120,Barbie & The Diamond Castle Princess Liana Doll,M0785,2008,26,66,76,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-the-diamond-castle-princess-liana-doll-m0785.jpg
121,Gymnast Barbie,12127,1993,5,66,37,https://www.barbiedb.com/wp-content/uploads/2021/08/12127-gymnast-1024x911.jpg
122,Ken as The Tin Man in The Wizard of Oz,14902,1995,3,66,40,https://www.barbiedb.com/wp-content/uploads/2021/07/14902-1995-ken-as-the-tin-man-in-the-wizard-of-oz-821x1024.jpg
123,"Kelly Doll and Friends, The Wizard of Oz Giftset",B2516,2003,21,66,51,https://www.barbiedb.com/wp-content/uploads/2021/05/kelly-doll-and-friends-the-wizard-of-oz-giftset.jpg
124,University of Texas Cheerleader Barbie,17792,1996,6,66,45,https://www.barbiedb.com/wp-content/uploads/2021/08/17792-1996-university-of-texas-cheerleader-barbie.jpg
125,Winter Dazzle Barbie,18456,1997,3,15,31,https://www.barbiedb.com/wp-content/uploads/2021/07/18456-1997-winter-dazzle-barbie-679x1024.jpg
126,Hollywood Legends Ken as Henry Higgins in My Fair Lady,15499,1995,9,15,221,https://www.barbiedb.com/wp-content/uploads/2020/05/hollywood-legends-ken-as-henry-higgins-in-my-fair-lady.jpg
127,Happy Holidays Barbie AA,10911,1993,8,15,46,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-aa-2.jpg
128,Grolier Secret of the Three Teardrops Barbie,24022,1999,10,15,120,https://www.barbiedb.com/wp-content/uploads/2020/05/grolier-secret-of-the-three-teardrops-barbie.jpg
129,Emerald Enchantment Barbie,17443,1996,5,15,40,https://www.barbiedb.com/wp-content/uploads/2020/05/emerald-enchantment-barbie.jpg
130,Barbie Princess Anneliese,B5768,2004,50,116,240,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-princess-anneliese.jpg
131,Barbie Fashionistas Gown Sweetie Doll,T7415,2010,24,116,70,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-gown-sweetie-doll.jpg
132,Winter Fantasy Barbie,17249,1996,1,116,22,https://www.barbiedb.com/wp-content/uploads/2021/07/17249-1996-winter-fantasy-barbie-667x1024.jpg
133,Diana Ross by Bob Mackie,B2017,2003,80,116,321,https://www.barbiedb.com/wp-content/uploads/2020/05/diana-ross-by-bob-mackie.jpg
134,Winter Fantasy Barbie,15530,1995,1,116,32,https://www.barbiedb.com/wp-content/uploads/2021/08/15530-winter-fantasy-750x1024.jpg
135,Whispering Wind Barbie,22834,1998,15,35,51,https://www.barbiedb.com/wp-content/uploads/2021/07/22834-1998-whispering-wind-barbie-799x1024.jpg
136,Barbie Traveling Sisters Gift Set,14073,1995,29,35,85,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-traveling-sisters-gift-set.jpg
137,Mattel Barbie As The Island Princess Princess Rosella,K8103,2007,65,35,203,https://www.barbiedb.com/wp-content/uploads/2020/05/mattel-barbie-as-the-island-princess-princess-rosella.jpg
138,Holiday Treasures Barbie 2001,52682,2001,44,35,150,https://www.barbiedb.com/wp-content/uploads/2020/05/holiday-treasures-barbie-2001.jpg
139,Cracker Barrel Country Charm Barbie,26464,2000,4,35,29,https://www.barbiedb.com/wp-content/uploads/2022/03/26464-2000-cracker-barrel-country-charm-barbie.jpg
140,Wedding Day Barbie,17119,1996,5,19,40,https://www.barbiedb.com/wp-content/uploads/2021/06/wedding-day-barbie-blonde-1960-fashion-and-doll-reproduction-565x1024.jpg
141,My Scene River,B6696,2003,17,19,33,https://www.barbiedb.com/wp-content/uploads/2021/06/my-scene-river-810x1024.jpg
142,Snow White Barbie,21130,1999,10,19,40,https://www.barbiedb.com/wp-content/uploads/2020/05/snow-white-barbie.jpg
143,Ken Fashion Avenue Student Sweater Outfit,18099,1997,12,19,37,https://www.barbiedb.com/wp-content/uploads/2022/11/18099-1997-ken-fashion-avenue-student-sweater-outfit-661x1024.jpg
144,The Munsters Giftset,50544,2001,187,19,300,https://www.barbiedb.com/wp-content/uploads/2022/03/50544-2001-the-munsters-giftset.jpg
145,"Winter Moon, from Disney’s Pocahontas",23964,1999,24,39,70,https://www.barbiedb.com/wp-content/uploads/2021/07/23964-23964-winter-moon-from-disneys-pocahontas-683x1024.jpg
146,Polish Barbie,18560,1998,25,39,50,https://www.barbiedb.com/wp-content/uploads/2020/05/polish-barbie.jpg
147,Fashion Fever Drew Doll,H0655,2004,46,39,90,https://www.barbiedb.com/wp-content/uploads/2020/05/fashion-fever-drew-doll-h0655.jpg
